pos_sk,pos_name,category
1,Visiteur Médical,Maitrise-1
2,Pharmacienne Chargée Contrôle Qualité,CADRE
3,FIELD FORCE MANAGER,CADRE
4,Délégué Médical,Maitrise-1
5,Opérateur de Production,Exécution-1
6,Visiteur Pharmaceutique,Maitrise-1
7,CRM Specialist,Maitrise-2
8,Superviseur Médical,CADRE
9,Chef de Produit,CADRE
10,Pharmacien Responsable Technique,Cadre sup
11,Digital marketing specialist,Maitrise-1
12,Responsable Magasin Produits Finis,CADRE
13,Analyste Contrôle Qualité,Exécution-1
14,Analyste Developpement,Exécution-1
15,Spécialiste en Technologie Pharmaceutique,MAITRISE-1
16,Acheteur Junior,Maitrise-1
17,IT Development Associate,Maitrise-1
18,Technicien Maintenance Utilites,Exécution-1
19,Chef de Bloc,CADRE
20,Technicien Maintenance Process,Exécution-1
21,Analyste Microbiologie,Exécution-1
22,INNOVATION MANAGER,CADRE
23,Opératrice d'Hygiene,Exécution-2
24,Medical Manager,CADRE
25,Analyste Junior,Exécution-1
26,nan,CADRE
27,Assistante de direction,Maitrise-2
28,Data Support Analyste,Maitrise-2
29,Spécialiste des grands comptes,Maitrise-1
30,Spécialiste Assurance Qualité,Maitrise-1
31,Responsable des Magasins,CADRE
32,Contrôleur  de Gestion,Maitrise-1
33,"Responsable Achat, Approvisionment et Transit",CADRE
34,Comptable,Exécution-2
35,PATIENT CENTRICITY,Maitrise-1
36,Pharmacien de Production,CADRE
37,Standardiste et Bureau d'Ordre,Exécution-2
38,Ingénieur Energitique,Maitrise-1
39,MSL,CADRE
40,Pharmacien Contrôle Qualité,CADRE
41,PHARMACOVIGILANCE MANAGER,CADRE
42,PEOPLE DEVELOPMENT SPECIALIST,Maitrise-1
43,Superviseur de Bloc,Maitrise-2
44,Assistante de Direction Général,Exécution-1
45,Superviseur Bloc de Pesee,Maitrise-2
46,International Sales Manager,Cadre Sup
47,Magasinier (Mp/Ace),Exécution-2
48,Finance And Administration Manager,cadre sup
49,Chargée Revue de Lot,Maitrise-2
50,Responsable Assurance Contrôle au sein du département Contrôle Qualité,CADRE
51,Responsable Facturation Achat,Maitrise-1
